# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 22212 10 20 66306 6955390 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/stdlib/2/distutils/filelist.pyi
DUPTYPE_WITHIN_SAME_TREE -22212 10 20 66306 6955678 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/stdlib/3/distutils/filelist.pyi
DUPTYPE_FIRST_OCCURRENCE 23392 11 26 66306 6956097 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/six/moves/BaseHTTPServer.pyi
DUPTYPE_WITHIN_SAME_TREE -23392 11 26 66306 6956113 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/six/moves/CGIHTTPServer.pyi
DUPTYPE_WITHIN_SAME_TREE -23392 11 26 66306 6956114 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/six/moves/SimpleHTTPServer.pyi
DUPTYPE_FIRST_OCCURRENCE 23273 11 30 66306 6956006 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/2/six/moves/urllib_request.pyi
DUPTYPE_WITHIN_SAME_TREE -23273 11 30 66306 6956096 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/six/moves/urllib_request.pyi
DUPTYPE_FIRST_OCCURRENCE 23259 11 30 66306 6956003 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/2/six/moves/email_mime_base.pyi
DUPTYPE_WITHIN_SAME_TREE -23259 11 30 66306 6956092 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/six/moves/email_mime_base.pyi
DUPTYPE_FIRST_OCCURRENCE 23274 11 31 66306 6956010 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/2/six/moves/urllib_response.pyi
DUPTYPE_WITHIN_SAME_TREE -23274 11 31 66306 6956100 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/six/moves/urllib_response.pyi
DUPTYPE_FIRST_OCCURRENCE 23418 11 33 66306 6956105 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/six/moves/tkinter_filedialog.pyi
DUPTYPE_WITHIN_SAME_TREE -23418 11 33 66306 6956115 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/six/moves/tkinter_tkfiledialog.pyi
DUPTYPE_FIRST_OCCURRENCE 23260 11 35 66306 6956008 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/2/six/moves/email_mime_multipart.pyi
DUPTYPE_WITHIN_SAME_TREE -23260 11 35 66306 6956098 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/six/moves/email_mime_multipart.pyi
DUPTYPE_FIRST_OCCURRENCE 23261 11 38 66306 6956016 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/2/six/moves/email_mime_nonmultipart.pyi
DUPTYPE_WITHIN_SAME_TREE -23261 11 38 66306 6956107 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/six/moves/email_mime_nonmultipart.pyi
DUPTYPE_FIRST_OCCURRENCE 10913 3 41 66306 6816248 1 ./.git/refs/heads/master
DUPTYPE_WITHIN_SAME_TREE -10913 4 41 66306 6834376 1 ./.git/refs/remotes/origin/master
DUPTYPE_FIRST_OCCURRENCE 3590 2 57 66306 6830119 1 ./Kids_Vids_Jango/auth_app/models.py
DUPTYPE_WITHIN_SAME_TREE -3590 2 57 66306 6830139 1 ./Kids_Vids_Jango/select_channels/models.py
DUPTYPE_WITHIN_SAME_TREE -3590 2 57 66306 6830160 1 ./Kids_Vids_Jango/open_seleted_channels/models.py
DUPTYPE_FIRST_OCCURRENCE 22021 10 59 66306 6957203 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/django-stubs/django-stubs/contrib/admindocs/urls.pyi
DUPTYPE_WITHIN_SAME_TREE -22021 10 59 66306 6957046 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/django-stubs/django-stubs/contrib/auth/urls.pyi
DUPTYPE_WITHIN_SAME_TREE -22021 10 59 66306 6957210 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/django-stubs/django-stubs/contrib/flatpages/urls.pyi
DUPTYPE_FIRST_OCCURRENCE 3591 2 60 66306 6830117 1 ./Kids_Vids_Jango/auth_app/tests.py
DUPTYPE_WITHIN_SAME_TREE -3591 2 60 66306 6830138 1 ./Kids_Vids_Jango/select_channels/tests.py
DUPTYPE_WITHIN_SAME_TREE -3591 2 60 66306 6830159 1 ./Kids_Vids_Jango/open_seleted_channels/tests.py
DUPTYPE_FIRST_OCCURRENCE 3588 2 63 66306 6830116 1 ./Kids_Vids_Jango/auth_app/admin.py
DUPTYPE_WITHIN_SAME_TREE -3588 2 63 66306 6830137 1 ./Kids_Vids_Jango/select_channels/admin.py
DUPTYPE_WITHIN_SAME_TREE -3588 2 63 66306 6830158 1 ./Kids_Vids_Jango/open_seleted_channels/admin.py
DUPTYPE_FIRST_OCCURRENCE 22708 10 63 66306 6956074 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/docutils/__init__.pyi
DUPTYPE_WITHIN_SAME_TREE -22708 12 63 66306 6956079 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/docutils/parsers/rst/nodes.pyi
DUPTYPE_WITHIN_SAME_TREE -22708 13 63 66306 6956466 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/2and3/cryptography/hazmat/primitives/asymmetric/__init__.pyi
DUPTYPE_WITHIN_SAME_TREE -22708 12 63 66306 6956435 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/2and3/cryptography/hazmat/primitives/__init__.pyi
DUPTYPE_WITHIN_SAME_TREE -22708 11 63 66306 6956427 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/2and3/cryptography/hazmat/__init__.pyi
DUPTYPE_WITHIN_SAME_TREE -22708 11 63 66306 6956076 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/docutils/parsers/__init__.pyi
DUPTYPE_WITHIN_SAME_TREE -22708 12 63 66306 6956080 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/third_party/3/docutils/parsers/rst/__init__.pyi
